n0,1-Pi0,Effect,S0,Power,Power SD,FDR,FDR SD,Accuracy,Accuracy SD,TPR,TPR SD,FPR,FPR SD,F1,F1 SD
30,0.25,0.5,1,0.09906,0.01386,0.04906,0.01444,0.54866,0.00675,0.09906,0.01386,0.00173,0.00063,0.17910,0.02261
30,0.25,1,0.5,1.00000,0.00000,0.05015,0.00484,0.99120,0.00089,1.00000,0.00000,0.01761,0.00179,0.97428,0.00254
30,0.25,1,1,0.91470,0.00600,0.05040,0.00497,0.94925,0.00303,0.91470,0.00600,0.01619,0.00169,0.93181,0.00385
30,0.25,1.5,0.5,1.00000,0.00000,0.05015,0.00484,0.99120,0.00089,1.00000,0.00000,0.01761,0.00179,0.97428,0.00254
30,0.25,1.5,1,0.99955,0.00042,0.05016,0.00484,0.99097,0.00093,0.99955,0.00042,0.01760,0.00179,0.97406,0.00257
30,0.5,0.5,0.5,0.96860,0.00256,0.04994,0.00407,0.95883,0.00242,0.96860,0.00256,0.05094,0.00439,0.95923,0.00234
30,0.5,0.5,1,0.26599,0.01395,0.04368,0.00603,0.62689,0.00629,0.26599,0.01395,0.01220,0.00216,0.41599,0.01676
30,0.5,1,0.5,1.00000,0.00000,0.05000,0.00410,0.97368,0.00228,1.00000,0.00000,0.05265,0.00455,0.97436,0.00216
30,0.5,1,1,0.96860,0.00256,0.04994,0.00407,0.95883,0.00242,0.96860,0.00256,0.05094,0.00439,0.95923,0.00234
30,0.5,1.5,0.5,1.00000,0.00000,0.05000,0.00410,0.97368,0.00228,1.00000,0.00000,0.05265,0.00455,0.97436,0.00216
30,0.5,1.5,1,0.99994,0.00010,0.05000,0.00410,0.97365,0.00228,0.99994,0.00010,0.05265,0.00455,0.97432,0.00216
