n0,n1,1-Pi0,Effect,S0,S1,Power bonf,Power SD bonf,FDR bonf,FDR SD bonf,Accuracy bonf,Accuracy SD bonf,TPR bonf,TPR SD bonf,FPR bonf,FPR SD bonf,F1 bonf,F1 SD bonf,Power holm,Power SD holm,FDR holm,FDR SD holm,Accuracy holm,Accuracy SD holm,TPR holm,TPR SD holm,FPR holm,FPR SD holm,F1 holm,F1 SD holm,Power sg,Power SD sg,FDR sg,FDR SD sg,Accuracy sg,Accuracy SD sg,TPR sg,TPR SD sg,FPR sg,FPR SD sg,F1 sg,F1 SD sg,Power bh,Power SD bh,FDR bh,FDR SD bh,Accuracy bh,Accuracy SD bh,TPR bh,TPR SD bh,FPR bh,FPR SD bh,F1 bh,F1 SD bh,Power by,Power SD by,FDR by,FDR SD by,Accuracy by,Accuracy SD by,TPR by,TPR SD by,FPR by,FPR SD by,F1 by,F1 SD by,Power Q,Power SD Q,FDR Q,FDR SD Q,Accuracy Q,Accuracy SD Q,TPR Q,TPR SD Q,FPR Q,FPR SD Q,F1 Q,F1 SD Q
5,5,0.25,1.5,1,0.5,0.00124,0.000631189,0.004761905,0.025643642,0.500617778,0.000311714,0.00124,0.000631189,4.44E-06,2.39E-05,0.002476071,0.001258785,0.00124,0.000631189,0.004761905,0.025643642,0.500617778,0.000311714,0.00124,0.000631189,4.44E-06,2.39E-05,0.002476071,0.001258785,0.206013333,0.001628032,0.05150399,0.007495544,0.601142222,0.001085355,0.206013333,0.001628032,0.003728889,0.000542677,0.33850367,0.002675045,0.124256,0.017699674,0.040021641,0.009656438,0.561261333,0.008729331,0.124256,0.017699674,0.001733333,0.000505964,0.219571578,0.027976943,0.000173333,0.000267,0,0,0.500086667,0.0001335,0.000173333,0.000267,0,0,0.000346464,0.000533636,0.194626667,0.016865486,0.049450879,0.007475576,0.595617778,0.008217757,0.194626667,0.016865486,0.003391111,0.000681335,0.322737663,0.023104387
5,5,0.25,1.5,1,1,0.000173333,0.000267,0,0,0.500086667,0.0001335,0.000173333,0.000267,0,0,0.000346464,0.000533636,0.000173333,0.000267,0,0,0.500086667,0.0001335,0.000173333,0.000267,0,0,0.000346464,0.000533636,0.197453333,0.002562256,0.090914672,0.011796759,0.595435556,0.001708171,0.197453333,0.002562256,0.006582222,0.000854085,0.324438602,0.004210082,0.000888,0.001091905,0.012222222,0.071396995,0.500441333,0.000543877,0.000888,0.001091905,5.33E-06,2.61E-05,0.001771993,0.002175853,2.67E-05,9.98E-05,0,0,0.500013333,4.99E-05,2.67E-05,9.98E-05,0,0,5.33E-05,0.000199475,0.00312,0.002986905,0.017209808,0.040289169,0.50154,0.001472146,0.00312,0.002986905,4.00E-05,9.83E-05,0.006201428,0.005925663
5,15,0.25,0.5,0.5,0.5,0.002813333,0.000755307,0.057579365,0.106078604,0.501377778,0.000392271,0.002813333,0.000755307,5.78E-05,0.000107129,0.005608881,0.001502572,0.002813333,0.000755307,0.057579365,0.106078604,0.501377778,0.000392271,0.002813333,0.000755307,5.78E-05,0.000107129,0.005608881,0.001502572,0.1756,0.003715194,0.191528545,0.017104945,0.580866667,0.002476796,0.1756,0.003715194,0.013866667,0.001238398,0.288531055,0.006104492,0.032616,0.006603374,0.095471856,0.032177643,0.515724,0.003179965,0.032616,0.006603374,0.001168,0.000493557,0.062870549,0.01229276,0.002306667,0.001229345,0.039920635,0.08086289,0.501133333,0.000608337,0.002306667,0.001229345,4.00E-05,9.21E-05,0.004599047,0.002447718,0.044586667,0.006769133,0.110520216,0.026095222,0.521357778,0.003231855,0.044586667,0.006769133,0.001871111,0.000619183,0.08482033,0.012286191
5,15,0.25,0.5,0.5,1,0.000306667,0.000337573,0.016666667,0.089752747,0.500151111,0.000168596,0.000306667,0.000337573,4.44E-06,2.39E-05,0.000612907,0.000674548,0.000306667,0.000337573,0.016666667,0.089752747,0.500151111,0.000168596,0.000306667,0.000337573,4.44E-06,2.39E-05,0.000612907,0.000674548,0.158226667,0.003421786,0.271516268,0.015754081,0.569284444,0.002281191,0.158226667,0.003421786,0.019657778,0.001140595,0.259984664,0.00562239,0.00084,0.001189958,0.042095238,0.116414148,0.500405333,0.000583604,0.00084,0.001189958,2.93E-05,7.68E-05,0.001675448,0.002369593,6.67E-05,0.000181353,0,0,0.500033333,9.07E-05,6.67E-05,0.000181353,0,0,0.000133259,0.000362475,0.000973333,0.001096337,0.045873016,0.110646307,0.500468889,0.000538718,0.000973333,0.001096337,3.56E-05,8.39E-05,0.00194203,0.002184766
5,15,0.25,0.5,1,0.5,0.0012,0.000661312,0.341785714,0.261622205,0.500484444,0.000334634,0.0012,0.000661312,0.000231111,0.00016842,0.002394542,0.001318073,0.0012,0.000661312,0.341785714,0.261622205,0.500484444,0.000334634,0.0012,0.000661312,0.000231111,0.00016842,0.002394542,0.001318073,0.105773333,0.004852692,0.513014119,0.022342045,0.534315556,0.003235128,0.105773333,0.004852692,0.037142222,0.001617564,0.173797787,0.007973533,0.003792,0.001533081,0.444397194,0.123236341,0.501381333,0.000694875,0.003792,0.001533081,0.001029333,0.000471812,0.007525697,0.003026147,0.000946667,0.000748213,0.326944444,0.318413917,0.500388889,0.00035154,0.000946667,0.000748213,0.000168889,0.000153703,0.001889205,0.001491835,0.004146667,0.001564552,0.422174971,0.118257189,0.501544444,0.000692624,0.004146667,0.001564552,0.001057778,0.000519753,0.008225945,0.003084776
5,15,0.25,0.5,1,1,0.00036,0.000377359,0.208333333,0.379296376,0.500151111,0.000206511,0.00036,0.000377359,5.78E-05,0.000107129,0.000719382,0.000753885,0.00036,0.000377359,0.208333333,0.379296376,0.500151111,0.000206511,0.00036,0.000377359,5.78E-05,0.000107129,0.000719382,0.000753885,0.10556,0.004898272,0.513996317,0.022551896,0.534173333,0.003265515,0.10556,0.004898272,0.037213333,0.001632757,0.173447256,0.008048426,0.00092,0.000930376,0.259507937,0.335755269,0.500392,0.00044475,0.00092,0.000930376,0.000136,0.000165441,0.001835532,0.00185507,4.00E-05,0.00012,0.066666667,0.249443826,0.500013333,6.75E-05,4.00E-05,0.00012,1.33E-05,5.28E-05,8.00E-05,0.000239904,0.001106667,0.000988916,0.203161376,0.282394895,0.500484444,0.000466646,0.001106667,0.000988916,0.000137778,0.000199208,0.002207591,0.001971204
5,15,0.25,1,0.5,0.5,0.045293333,0.004117842,0.003958322,0.007191276,0.522617778,0.002070815,0.045293333,0.004117842,5.78E-05,0.000107129,0.086617886,0.007546418,0.0454,0.004134731,0.003955592,0.007189342,0.522671111,0.002079739,0.0454,0.004134731,5.78E-05,0.000107129,0.086812862,0.007577574,0.214253333,0.001003903,0.013566605,0.004622023,0.606635556,0.000669269,0.214253333,0.001003903,0.000982222,0.000334634,0.35204294,0.001649529,0.593008,0.017486404,0.05264267,0.005734558,0.791006667,0.008558351,0.593008,0.017486404,0.010994667,0.00131972,0.729262281,0.013322461,0.18284,0.011053012,0.01142098,0.005433891,0.591066667,0.005502888,0.18284,0.011053012,0.000706667,0.000342799,0.30845223,0.015765986,0.667386667,0.017299783,0.06406377,0.005899207,0.826073333,0.008425804,0.667386667,0.017299783,0.01524,0.001572033,0.779029426,0.011945141
5,15,0.25,1,0.5,1,0.007733333,0.001367561,0.001666667,0.008975275,0.503864444,0.000684102,0.007733333,0.001367561,4.44E-06,2.39E-05,0.015344118,0.002695802,0.007733333,0.001367561,0.001666667,0.008975275,0.503864444,0.000684102,0.007733333,0.001367561,4.44E-06,2.39E-05,0.015344118,0.002695802,0.21344,0.001341044,0.017311234,0.006174237,0.606093333,0.00089403,0.21344,0.001341044,0.001253333,0.000447015,0.35070654,0.002203491,0.377152,0.014389694,0.037037532,0.006385823,0.686158667,0.007202282,0.377152,0.014389694,0.004834667,0.000843194,0.541864449,0.015114611,0.03036,0.009282155,0.005128428,0.009977724,0.515155556,0.00464386,0.03036,0.009282155,4.89E-05,8.77E-05,0.058766138,0.017385613,0.447866667,0.015587801,0.047554752,0.006266515,0.720204444,0.007723057,0.447866667,0.015587801,0.007457778,0.001050958,0.609087004,0.014532698
5,15,0.25,1,1,0.5,0.005653333,0.00129299,0.110897396,0.083265839,0.502711111,0.000668738,0.005653333,0.00129299,0.000231111,0.00016842,0.011232339,0.002556784,0.005653333,0.00129299,0.110897396,0.083265839,0.502711111,0.000668738,0.005653333,0.00129299,0.000231111,0.00016842,0.011232339,0.002556784,0.169626667,0.003886295,0.21903008,0.017892703,0.576884444,0.002590863,0.169626667,0.003886295,0.015857778,0.001295432,0.278716179,0.006385631,0.03572,0.005618968,0.179856281,0.036427342,0.516562667,0.002738991,0.03572,0.005618968,0.002594667,0.000583756,0.068400879,0.010382489,0.00752,0.002466631,0.124228211,0.071426516,0.503586667,0.001212943,0.00752,0.002466631,0.000346667,0.000202503,0.014899791,0.004850144,0.0444,0.007937086,0.175520569,0.030305259,0.520628889,0.003777308,0.0444,0.007937086,0.003142222,0.000734087,0.084140311,0.014304583
5,15,0.25,1,1,1,0.002813333,0.000755307,0.057579365,0.106078604,0.501377778,0.000392271,0.002813333,0.000755307,5.78E-05,0.000107129,0.005608881,0.001502572,0.002813333,0.000755307,0.057579365,0.106078604,0.501377778,0.000392271,0.002813333,0.000755307,5.78E-05,0.000107129,0.005608881,0.001502572,0.1756,0.003715194,0.191528545,0.017104945,0.580866667,0.002476796,0.1756,0.003715194,0.013866667,0.001238398,0.288531055,0.006104492,0.032616,0.006603374,0.095471856,0.032177643,0.515724,0.003179965,0.032616,0.006603374,0.001168,0.000493557,0.062870549,0.01229276,0.002306667,0.001229345,0.039920635,0.08086289,0.501133333,0.000608337,0.002306667,0.001229345,4.00E-05,9.21E-05,0.004599047,0.002447718,0.044586667,0.006769133,0.110520216,0.026095222,0.521357778,0.003231855,0.044586667,0.006769133,0.001871111,0.000619183,0.08482033,0.012286191
