n0,1-Pi0,Effect,S0,Bonferroni Method,,,,,,,,,,,,Holm Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Power bonf,Power SD bonf,FDR bonf,FDR SD bonf,Accuracy bonf,Accuracy SD bonf,TPR bonf,TPR SD bonf,FPR bonf,FPR SD bonf,F1 bonf,F1 SD bonf,Power holm,Power SD holm,FDR holm,FDR SD holm,Accuracy holm,Accuracy SD holm,TPR holm,TPR SD holm,FPR holm,FPR SD holm,F1 holm,F1 SD holm,Power sg,Power SD sg,FDR sg,FDR SD sg,Accuracy sg,Accuracy SD sg,TPR sg,TPR SD sg,FPR sg,FPR SD sg,F1 sg,F1 SD sg,Power bh,Power SD bh,FDR bh,FDR SD bh,Accuracy bh,Accuracy SD bh,TPR bh,TPR SD bh,FPR bh,FPR SD bh,F1 bh,F1 SD bh,Power by,Power SD by,FDR by,FDR SD by,Accuracy by,Accuracy SD by,TPR by,TPR SD by,FPR by,FPR SD by,F1 by,F1 SD by,Power Q,Power SD Q,FDR Q,FDR SD Q,Accuracy Q,Accuracy SD Q,TPR Q,TPR SD Q,FPR Q,FPR SD Q,F1 Q,F1 SD Q
5,0.25,1.5,0.5,0.015188,0.002486736,0.001145833,0.006624465,0.507591333,0.00124496,0.015188,0.002486736,5.33E-06,3.22E-05,0.029909311,0.00482226,0.015264,0.002472065,0.001145833,0.006624465,0.507629333,0.001237715,0.015264,0.002472065,5.33E-06,3.22E-05,0.030056928,0.004792918,0.216624,0.000453678,0.002651934,0.002088758,0.608216,0.000302452,0.216624,0.000453678,0.000192,0.000151226,0.355938219,0.000745446,0.889696,0.007596024,0.037424608,0.0043032,0.93908,0.003841146,0.889696,0.007596024,0.011536,0.001372942,0.924681282,0.004628202,0.30962,0.018729346,0.003336203,0.002283742,0.654637333,0.009361791,0.30962,0.018729346,0.000345333,0.000232547,0.472153053,0.021868161,0.923308,0.0072859,0.050054267,0.005258127,0.953539333,0.003532391,0.923308,0.0072859,0.016229333,0.001817748,0.936412074,0.004140902
5,0.25,1.5,1,0.0005,0.00040939,0.02,0.123107902,0.500247333,0.000205976,0.0005,0.00040939,5.33E-06,3.22E-05,0.000999153,0.000817663,0.0005,0.00040939,0.02,0.123107902,0.500247333,0.000205976,0.0005,0.00040939,5.33E-06,3.22E-05,0.000999153,0.000817663,0.197052,0.002786054,0.092762431,0.012827136,0.595168,0.001857369,0.197052,0.002786054,0.006716,0.000928685,0.323779165,0.004577808,0.014,0.009738337,0.035353746,0.038433986,0.506907333,0.004798295,0.014,0.009738337,0.000185333,0.000215732,0.027410134,0.018778809,0.0001,0.000255343,0,0,0.50005,0.000127671,0.0001,0.000255343,0,0,0.00019985,0.000510139,0.038052,0.01612597,0.046021482,0.024347158,0.518708667,0.007910329,0.038052,0.01612597,0.000634667,0.000415744,0.072690368,0.029882672
5,0.5,0.5,0.5,0.000122,0.000138261,0.03,0.170587221,0.500058,7.37E-05,0.000122,0.000138261,6.00E-06,3.41E-05,0.000243932,0.00027642,0.000122,0.000138261,0.03,0.170587221,0.500058,7.37E-05,0.000122,0.000138261,6.00E-06,3.41E-05,0.000243932,0.00027642,0.098488,0.001325842,0.093112339,0.012208486,0.544188,0.001325842,0.098488,0.001325842,0.010112,0.001325842,0.177679957,0.002391921,0.000428,0.000659102,0.024837413,0.110986449,0.500202,0.000312724,0.000428,0.000659102,2.40E-05,7.63E-05,0.000854698,0.001314987,1.40E-05,5.10E-05,0,0,0.500007,2.55E-05,1.40E-05,5.10E-05,0,0,2.80E-05,0.000102038,0.001912,0.002093288,0.041386065,0.112049499,0.500903,0.000981881,0.001912,0.002093288,0.000106,0.000184293,0.003807058,0.004158082
5,0.5,0.5,1,2.60E-05,6.73E-05,0.03,0.170587221,0.50001,3.87E-05,2.60E-05,6.73E-05,6.00E-06,3.41E-05,5.20E-05,0.000134494,2.60E-05,6.73E-05,0.03,0.170587221,0.50001,3.87E-05,2.60E-05,6.73E-05,6.00E-06,3.41E-05,5.20E-05,0.000134494,0.075886,0.002121557,0.301233886,0.019535515,0.521586,0.002121557,0.075886,0.002121557,0.032714,0.002121557,0.136904203,0.003827453,3.00E-05,8.19E-05,0.03,0.170587221,0.500011,4.88E-05,3.00E-05,8.19E-05,8.00E-06,4.83E-05,6.00E-05,0.00016366,0,0,0,0,0.5,0,0,0,0,0,0,0,3.20E-05,8.35E-05,0.04,0.195959179,0.500011,5.08E-05,3.20E-05,8.35E-05,1.00E-05,5.20E-05,6.40E-05,0.000166997
5,0.5,1,0.5,0.002034,0.000624215,0.002921569,0.018662495,0.501014,0.000311133,0.002034,0.000624215,6.00E-06,3.41E-05,0.00405894,0.001243018,0.002042,0.000631376,0.002921569,0.018662495,0.501018,0.000314763,0.002042,0.000631376,6.00E-06,3.41E-05,0.004074857,0.001257215,0.107946,0.000367538,0.006022099,0.003384326,0.553646,0.000367538,0.107946,0.000367538,0.000654,0.000367538,0.194742919,0.000663066,0.541562,0.009948013,0.024883859,0.003034653,0.763866,0.004803191,0.541562,0.009948013,0.01383,0.001783788,0.696313349,0.008183397,0.005312,0.004034781,0.001591167,0.007316989,0.502649,0.002008208,0.005312,0.004034781,1.40E-05,5.83E-05,0.010535612,0.007962466,0.744748,0.015445456,0.049309007,0.003979034,0.853034,0.006533808,0.744748,0.015445456,0.03868,0.003781323,0.835098857,0.008966813
5,0.5,1,1,0.000122,0.000138261,0.03,0.170587221,0.500058,7.37E-05,0.000122,0.000138261,6.00E-06,3.41E-05,0.000243932,0.00027642,0.000122,0.000138261,0.03,0.170587221,0.500058,7.37E-05,0.000122,0.000138261,6.00E-06,3.41E-05,0.000243932,0.00027642,0.098488,0.001325842,0.093112339,0.012208486,0.544188,0.001325842,0.098488,0.001325842,0.010112,0.001325842,0.177679957,0.002391921,0.000428,0.000659102,0.024837413,0.110986449,0.500202,0.000312724,0.000428,0.000659102,2.40E-05,7.63E-05,0.000854698,0.001314987,1.40E-05,5.10E-05,0,0,0.500007,2.55E-05,1.40E-05,5.10E-05,0,0,2.80E-05,0.000102038,0.001912,0.002093288,0.041386065,0.112049499,0.500903,0.000981881,0.001912,0.002093288,0.000106,0.000184293,0.003807058,0.004158082
5,0.5,1.5,0.5,0.015436,0.001760768,0.000398612,0.002286051,0.507715,0.000881065,0.015436,0.001760768,6.00E-06,3.41E-05,0.030396606,0.003415013,0.015538,0.001755151,0.000391343,0.002243316,0.507766,0.000877977,0.015538,0.001755151,6.00E-06,3.41E-05,0.030594468,0.003403472,0.108544,0.000102294,0.000515654,0.000941931,0.554244,0.000102294,0.108544,0.000102294,5.60E-05,0.000102294,0.195821757,0.000184546,0.95459,0.003151428,0.024681944,0.0020584,0.965214,0.001819671,0.95459,0.003151428,0.024162,0.002072235,0.964838887,0.001868414,0.530972,0.010204392,0.002547412,0.000972108,0.764807,0.005058918,0.530972,0.010204392,0.001358,0.000524057,0.692967324,0.008689509,0.985444,0.002235814,0.049655708,0.003542006,0.966968,0.001736311,0.985444,0.002235814,0.051508,0.003915142,0.967569495,0.001659617
5,0.5,1.5,1,0.000538,0.000306848,0.0075,0.042646805,0.500266,0.000153766,0.000538,0.000306848,6.00E-06,3.41E-05,0.001075226,0.000612927,0.000538,0.000306848,0.0075,0.042646805,0.500266,0.000153766,0.000538,0.000306848,6.00E-06,3.41E-05,0.001075226,0.000612927,0.105962,0.000605769,0.024290976,0.005577983,0.551662,0.000605769,0.105962,0.000605769,0.002638,0.000605769,0.19116363,0.001092854,0.117396,0.012449835,0.024677531,0.005637107,0.557206,0.006033619,0.117396,0.012449835,0.002984,0.000790787,0.209336543,0.019892617,0.000112,0.000196611,0,0,0.500056,9.83E-05,0.000112,0.000196611,0,0,0.000223898,0.000392928,0.323834,0.019332688,0.046489879,0.005377034,0.654003,0.00901041,0.323834,0.019332688,0.015828,0.002334099,0.483124948,0.021475907
15,0.1,0.5,0.5,0.01081,0.00307797,0.004575758,0.024620144,0.505402222,0.001539964,0.01081,0.00307797,5.56E-06,2.89E-05,0.021369495,0.006020786,0.01082,0.003089919,0.004534091,0.024518343,0.505407222,0.001545764,0.01082,0.003089919,5.56E-06,2.89E-05,0.021388909,0.006043885,0.4693,0.007968061,0.13572744,0.014674146,0.730555556,0.004426701,0.4693,0.007968061,0.008188889,0.00088534,0.608295528,0.010328012,0.22111,0.02598611,0.045759511,0.014275815,0.609965,0.012944787,0.22111,0.02598611,0.00118,0.00039621,0.358273164,0.034521044,0.0148,0.008822698,0.004860775,0.020652698,0.507395,0.004407814,0.0148,0.008822698,1.00E-05,3.88E-05,0.029016591,0.017032434,0.24262,0.02620793,0.050574166,0.014957851,0.620590556,0.013052439,0.24262,0.02620793,0.001438889,0.000457415,0.385748723,0.033514702
15,0.1,0.5,1,0.00034,0.000533292,0.035,0.176847392,0.500167222,0.000267763,0.00034,0.000533292,5.56E-06,2.89E-05,0.000679181,0.001065121,0.00034,0.000533292,0.035,0.176847392,0.500167222,0.000267763,0.00034,0.000533292,5.56E-06,2.89E-05,0.000679181,0.001065121,0.21574,0.011205909,0.602688766,0.020637033,0.589688889,0.006225505,0.21574,0.011205909,0.036362222,0.001245101,0.279637071,0.014524834,0.00071,0.001275108,0.032833333,0.129966983,0.500348889,0.000627364,0.00071,0.001275108,1.22E-05,4.69E-05,0.001415125,0.002536559,1.00E-05,9.95E-05,0,0,0.500005,4.97E-05,1.00E-05,9.95E-05,0,0,2.00E-05,0.000198799,0.00078,0.001338507,0.041469697,0.141675766,0.500382222,0.000655569,0.00078,0.001338507,1.56E-05,5.67E-05,0.001554333,0.002660949
15,0.1,1,0.5,0.46922,0.016179975,0.000105908,0.000552946,0.734607222,0.008089695,0.46922,0.016179975,5.56E-06,2.89E-05,0.638546345,0.015017817,0.47471,0.015957628,0.000104439,0.0005444,0.737352222,0.007978324,0.47471,0.015957628,5.56E-06,2.89E-05,0.643620274,0.014694443,0.54293,0.000291719,0.000128913,0.000537236,0.771461111,0.000162066,0.54293,0.000291719,7.78E-06,3.24E-05,0.703732988,0.000378119,0.98838,0.003337005,0.044808877,0.006456934,0.991611667,0.001756566,0.98838,0.003337005,0.005156667,0.000777952,0.971489837,0.003908817,0.91395,0.009180822,0.004633489,0.002135231,0.956738333,0.004582382,0.91395,0.009180822,0.000473333,0.000219775,0.952896619,0.005026838,0.98974,0.003201937,0.049840622,0.006896858,0.991982778,0.001676355,0.98974,0.003201937,0.005774444,0.000840555,0.969531428,0.004011459
15,0.1,1,1,0.01081,0.00307797,0.004575758,0.024620144,0.505402222,0.001539964,0.01081,0.00307797,5.56E-06,2.89E-05,0.021369495,0.006020786,0.01082,0.003089919,0.004534091,0.024518343,0.505407222,0.001545764,0.01082,0.003089919,5.56E-06,2.89E-05,0.021388909,0.006043885,0.4693,0.007968061,0.13572744,0.014674146,0.730555556,0.004426701,0.4693,0.007968061,0.008188889,0.00088534,0.608295528,0.010328012,0.22111,0.02598611,0.045759511,0.014275815,0.609965,0.012944787,0.22111,0.02598611,0.00118,0.00039621,0.358273164,0.034521044,0.0148,0.008822698,0.004860775,0.020652698,0.507395,0.004407814,0.0148,0.008822698,1.00E-05,3.88E-05,0.029016591,0.017032434,0.24262,0.02620793,0.050574166,0.014957851,0.620590556,0.013052439,0.24262,0.02620793,0.001438889,0.000457415,0.385748723,0.033514702
15,0.1,1.5,0.5,0.9817,0.004410215,5.09E-05,0.000264219,0.990847222,0.00220547,0.9817,0.004410215,5.56E-06,2.89E-05,0.990735525,0.002252863,0.9832,0.004042277,5.08E-05,0.000263759,0.991597222,0.002021465,0.9832,0.004042277,5.56E-06,2.89E-05,0.991499671,0.002062715,0.543,0,0,0,0.7715,0,0.543,0,0,0,0.70382372,2.22E-16,1,0,0.044819419,0.006424761,0.997390556,0.000392716,1,0,0.005218889,0.000785431,0.977065518,0.003367462,0.99994,0.000276405,0.004565095,0.00202985,0.999715,0.000168628,0.99994,0.000276405,0.00051,0.000227762,0.997681278,0.001013322,1,0,0.049740833,0.006894339,0.997088889,0.000425064,1,0,0.005822222,0.000850127,0.974482442,0.003628801
15,0.1,1.5,1,0.11756,0.012248526,0.000423908,0.002286175,0.558777222,0.006124271,0.11756,0.012248526,5.56E-06,2.89E-05,0.210162324,0.019636538,0.11821,0.012334744,0.000421471,0.002278279,0.559102222,0.006167346,0.11821,0.012334744,5.56E-06,2.89E-05,0.211199878,0.019752931,0.53956,0.001845644,0.006335175,0.003398975,0.769588889,0.001025358,0.53956,0.001845644,0.000382222,0.000205072,0.699364874,0.002392279,0.82904,0.014111641,0.044816322,0.00717318,0.912356667,0.007053268,0.82904,0.014111641,0.004326667,0.000727896,0.887579707,0.008862024,0.48356,0.021905397,0.004451503,0.003081912,0.74166,0.010955559,0.48356,0.021905397,0.00024,0.000169035,0.650651931,0.019892469,0.84128,0.013611084,0.049949006,0.00761072,0.918179444,0.006770505,0.84128,0.013611084,0.004921111,0.000799582,0.8922894,0.00831179
15,0.25,0.5,0.5,0.010936,0.002263604,0.00349854,0.01279821,0.505462,0.00113448,0.010936,0.002263604,1.20E-05,4.26E-05,0.021624771,0.004430184,0.010956,0.002282381,0.00349854,0.01279821,0.505472,0.001143899,0.010956,0.002282381,1.20E-05,4.26E-05,0.021663745,0.004466603,0.213988,0.001042236,0.014788214,0.004798509,0.606458667,0.000694824,0.213988,0.001042236,0.001070667,0.000347412,0.351606967,0.001712514,0.406176,0.017420661,0.037806522,0.006208276,0.700417333,0.008420502,0.406176,0.017420661,0.005341333,0.001030524,0.570969852,0.016749407,0.053996,0.009485567,0.004048725,0.005784008,0.52696,0.004731314,0.053996,0.009485567,7.60E-05,0.000108738,0.102282747,0.017066471,0.470728,0.017930031,0.050162058,0.007148632,0.731204,0.008501821,0.470728,0.017930031,0.00832,0.001443945,0.629238961,0.015219769
15,0.25,0.5,1,0.00034,0.000372559,0.051666667,0.192490981,0.500164,0.000185812,0.00034,0.000372559,1.20E-05,4.26E-05,0.00067946,0.000744289,0.00034,0.000372559,0.051666667,0.192490981,0.500164,0.000185812,0.00034,0.000372559,1.20E-05,4.26E-05,0.00067946,0.000744289,0.15544,0.004296976,0.284346225,0.019783498,0.567426667,0.00286465,0.15544,0.004296976,0.020586667,0.001432325,0.255405849,0.007060427,0.001136,0.001353774,0.043531746,0.133676541,0.500553333,0.000664964,0.001136,0.001353774,2.93E-05,8.34E-05,0.002265366,0.002695606,3.60E-05,0.000127687,0.02,0.14,0.500016667,6.49E-05,3.60E-05,0.000127687,2.67E-06,1.87E-05,7.20E-05,0.000255234,0.001648,0.001783731,0.056060733,0.145531937,0.500801333,0.000879191,0.001648,0.001783731,4.53E-05,0.000107033,0.003283516,0.003545442
15,0.25,1,0.5,0.470276,0.011330764,7.68E-05,0.000272978,0.735132,0.005666298,0.470276,0.011330764,1.20E-05,4.26E-05,0.639614897,0.010468096,0.48548,0.011436013,7.42E-05,0.000263885,0.742734,0.00571852,0.48548,0.011436013,1.20E-05,4.26E-05,0.653538345,0.010351228,0.2172,5.55E-17,0,0,0.6086,1.11E-16,0.2172,5.55E-17,0,0,0.356884653,5.55E-17,0.99622,0.001229471,0.037785933,0.004004241,0.991586667,0.000873969,0.99622,0.001229471,0.013046667,0.001438688,0.978916842,0.00207595,0.956744,0.003756177,0.003867317,0.001229649,0.977752667,0.001880125,0.956744,0.003756177,0.001238667,0.000395663,0.976036911,0.002026296,0.997444,0.000997429,0.050464385,0.00496075,0.989882,0.000974878,0.997444,0.000997429,0.01768,0.001832642,0.972893141,0.00258036
15,0.25,1,1,0.010936,0.002263604,0.00349854,0.01279821,0.505462,0.00113448,0.010936,0.002263604,1.20E-05,4.26E-05,0.021624771,0.004430184,0.010956,0.002282381,0.00349854,0.01279821,0.505472,0.001143899,0.010956,0.002282381,1.20E-05,4.26E-05,0.021663745,0.004466603,0.213988,0.001042236,0.014788214,0.004798509,0.606458667,0.000694824,0.213988,0.001042236,0.001070667,0.000347412,0.351606967,0.001712514,0.406176,0.017420661,0.037806522,0.006208276,0.700417333,0.008420502,0.406176,0.017420661,0.005341333,0.001030524,0.570969852,0.016749407,0.053996,0.009485567,0.004048725,0.005784008,0.52696,0.004731314,0.053996,0.009485567,7.60E-05,0.000108738,0.102282747,0.017066471,0.470728,0.017930031,0.050162058,0.007148632,0.731204,0.008501821,0.470728,0.017930031,0.00832,0.001443945,0.629238961,0.015219769
15,0.25,1.5,0.5,0.981816,0.002250276,3.67E-05,0.000130286,0.990902,0.001129698,0.981816,0.002250276,1.20E-05,4.26E-05,0.990805282,0.001160916,0.985632,0.002101946,3.65E-05,0.000129678,0.99281,0.001054066,0.985632,0.002101946,1.20E-05,4.26E-05,0.992744893,0.001077174,0.2172,5.55E-17,0,0,0.6086,1.11E-16,0.2172,5.55E-17,0,0,0.356884653,5.55E-17,1,0,0.03780451,0.004022085,0.993448667,0.000723931,1,0,0.013102667,0.001447862,0.980729284,0.002089068,0.999988,6.82E-05,0.003835799,0.001208117,0.999352,0.00020593,0.999988,6.82E-05,0.001284,0.000406024,0.99807207,0.000607567,1,0,0.050432472,0.004982719,0.991143333,0.000921418,1,0,0.017713333,0.001842836,0.974124754,0.002622424
