ID_REF	VALUE	5522887032_I.Avg_NBEADS	5522887032_I.BEAD_STDERR	5522887032_I.Detection Pval
ILMN_1762337	93.41135	14	4.294791	0.7220779
ILMN_2055271	123.3959	19	6.191406	0.03636364
ILMN_1736007	100.7757	13	5.215829	0.512987
ILMN_2383229	106.0982	21	7.804127	0.3376623
ILMN_1806310	94.5817	14	4.166304	0.6948052
ILMN_1779670	98.57229	26	4.567659	0.5779221
ILMN_1653355	132.6302	24	7.876775	0.01168831
ILMN_1717783	83.86032	30	3.421156	0.9350649
ILMN_1705025	104.1972	23	4.642816	0.4077922
ILMN_1814316	109.8961	19	7.730732	0.2324675
ILMN_2359168	89.74718	28	2.894852	0.8012987
ILMN_1731507	90.0532	13	3.198377	0.7961039
ILMN_1787689	101.4516	36	4.321085	0.4896104
ILMN_3241953	105.6295	26	3.914105	0.3571429
ILMN_1745607	184.377	25	9.027769	0
ILMN_2136495	75.41769	21	2.817915	0.9922078
ILMN_1668111	116.0503	19	3.371309	0.1051948
ILMN_2295559	89.8384	19	5.03921	0.8012987
ILMN_1735045	103.681	31	4.244139	0.425974
ILMN_1680754	111.581	19	6.222707	0.187013
ILMN_2375184	94.11314	25	3.704456	0.7051948
ILMN_1659452	129.0719	22	8.691292	0.01688312
ILMN_1767388	105.0814	33	4.531005	0.3753247
ILMN_1675204	83.09978	19	4.622389	0.9454545
ILMN_1673870	83.37173	19	2.870344	0.9441559
ILMN_1755321	133.7862	32	4.772271	0.01168831
ILMN_1698554	143.5708	18	4.422605	0.006493506
ILMN_1814092	127.5052	13	7.463929	0.02077922
ILMN_1760414	99.14815	24	3.176033	0.5584416
ILMN_2061446	225.6259	15	15.42549	0
ILMN_1676336	110.6077	23	5.823087	0.2116883
ILMN_1752884	91.74798	15	2.863233	0.7519481
ILMN_1660703	93.29142	18	5.032305	0.7233766
ILMN_1668851	81.1171	13	3.380004	0.9779221
ILMN_2270015	104.2069	24	4.709167	0.4064935
ILMN_1809959	99.47479	20	5.338335	0.5519481
ILMN_2357031	81.2067	24	2.569207	0.9753247
ILMN_1726986	104.6379	18	4.292511	0.3896104
ILMN_3237396	375.3936	24	13.11061	0
ILMN_1688755	119.0428	22	5.875958	0.06623377
ILMN_1880387	115.4737	21	8.237642	0.1116883
ILMN_1689211	99.66438	24	3.081578	0.5454546
ILMN_1653165	327.1062	25	20.20774	0
ILMN_1729835	85.22131	18	4.395435	0.9064935
ILMN_1662364	2148.512	22	78.09584	0
ILMN_1674698	230.6572	13	10.60137	0
ILMN_1700461	266.0905	14	13.28154	0
ILMN_1784269	173.2786	25	7.340945	0
ILMN_1698189	146.7969	21	7.590451	0.003896104
ILMN_2096191	412.9621	19	25.43098	0
ILMN_1678323	118.4721	23	5.031678	0.07012987
ILMN_2157219	110.1694	22	6.123545	0.2207792
ILMN_1703743	516.6819	29	24.34445	0
ILMN_1687609	112.3543	23	5.727856	0.1649351
ILMN_2068874	103.6868	22	5.091449	0.425974
ILMN_1699334	146.2026	21	11.90162	0.005194805
ILMN_1670117	114.8121	25	7.334747	0.1168831
ILMN_1805104	93.32233	23	3.810983	0.7233766
ILMN_2404407	121.7437	17	7.63186	0.04935065
ILMN_1766054	353.4729	19	16.14094	0
ILMN_1753388	119.0875	15	9.442514	0.06623377
ILMN_2070570	207.7066	24	12.49518	0
ILMN_2232084	108.5305	29	3.645237	0.2727273
ILMN_1750250	88.17818	29	3.358986	0.8402597
ILMN_2361400	92.47057	19	6.309146	0.7363636
ILMN_1704579	81.86971	23	4.566554	0.9675325
ILMN_1687636	99.37597	30	3.529898	0.5519481
ILMN_1747627	142.1941	26	7.105585	0.006493506
ILMN_1758523	101.2143	17	5.69619	0.5012987
ILMN_1794965	93.50047	18	3.834206	0.7207792
ILMN_1722286	128.9166	24	5.259126	0.01688312
ILMN_1784176	172.1131	22	8.465006	0
