ID_REF	VALUE	5455178010_E.Avg_NBEADS	5455178010_E.BEAD_STDERR	5455178010_E.Detection Pval
ILMN_1762337	108.3252	30	5.005895	0.2857143
ILMN_2055271	115.5595	25	4.781556	0.138961
ILMN_1736007	106.0238	24	5.644166	0.3415585
ILMN_2383229	96.40588	17	6.407402	0.6415585
ILMN_1806310	109.794	24	5.588651	0.2571429
ILMN_1779670	82.08643	16	3.02958	0.9610389
ILMN_1653355	94.06848	16	3.837622	0.7246753
ILMN_1717783	79.95518	29	3.33955	0.9805195
ILMN_1705025	134.3461	23	10.98479	0.009090909
ILMN_1814316	102.4898	29	3.517954	0.4610389
ILMN_2359168	84.53188	23	3.338553	0.9324675
ILMN_1731507	74.65315	14	2.783412	1
ILMN_1787689	89.57992	22	4.151936	0.8402597
ILMN_3241953	97.60123	25	3.991824	0.6103896
ILMN_1745607	228.1415	30	11.06908	0
ILMN_2136495	93.45135	16	5.335282	0.7493507
ILMN_1668111	97.82729	26	6.805559	0.6051948
ILMN_2295559	95.63842	18	4.434591	0.6675324
ILMN_1735045	112.6354	22	4.220934	0.1909091
ILMN_1680754	110.6152	18	6.189664	0.2402597
ILMN_2375184	91.07494	30	4.297698	0.8038961
ILMN_1659452	106.718	19	4.362571	0.3207792
ILMN_1767388	115.2346	28	7.674911	0.1415584
ILMN_1675204	86.33274	23	3.681556	0.9168831
ILMN_1673870	88.68623	22	4.984767	0.864935
ILMN_1755321	116.4593	25	5.002546	0.1298701
ILMN_1698554	124.6244	16	4.828174	0.04285714
ILMN_1814092	132.7499	16	8.788131	0.01558442
ILMN_1760414	105.1073	16	5.450935	0.3805195
ILMN_2061446	208.383	8	30.2531	0
ILMN_1676336	141.764	24	9.465262	0.006493506
ILMN_1752884	103.7538	32	4.892478	0.425974
ILMN_1660703	109.7855	22	8.560723	0.2571429
ILMN_1668851	86.30224	24	4.274684	0.9181818
ILMN_2270015	95.57033	24	5.381271	0.6688312
ILMN_1809959	90.75051	20	5.445944	0.8142857
ILMN_2357031	86.68442	23	3.614349	0.9116883
ILMN_1726986	121.7528	19	6.365856	0.06623377
ILMN_3237396	297.3026	31	13.24045	0
ILMN_1688755	106.2716	20	4.583895	0.3337662
ILMN_1880387	91.80994	13	5.415573	0.7805195
ILMN_1689211	75.79167	22	2.607889	0.9974026
ILMN_1653165	272.2788	28	14.47044	0
ILMN_1729835	82.70792	20	4.710025	0.951948
ILMN_1662364	1915.188	25	59.60246	0
ILMN_1674698	215.7544	21	9.594059	0
ILMN_1700461	269.9305	22	13.90313	0
ILMN_1784269	193.605	21	10.71248	0
ILMN_1698189	144.0275	27	5.757737	0.001298701
ILMN_2096191	436.2132	12	35.28413	0
ILMN_1678323	124.0625	20	8.372157	0.04545455
ILMN_2157219	111.3991	28	4.173675	0.2207792
ILMN_1703743	403.2687	29	19.5472	0
ILMN_1687609	119.0653	18	7.441115	0.09350649
ILMN_2068874	111.8066	25	7.623155	0.2155844
ILMN_1699334	133.7975	17	7.838222	0.01038961
ILMN_1670117	107.6709	18	6.50373	0.2987013
ILMN_1805104	95.07449	18	6.730333	0.6792208
ILMN_2404407	116.5058	22	9.827552	0.1272727
ILMN_1766054	246.5695	27	8.525153	0
