ID_REF	VALUE	5522887032_E.Avg_NBEADS	5522887032_E.BEAD_STDERR	5522887032_E.Detection Pval
ILMN_1678554	88.28926	17	3.565667	0.8467532
ILMN_1714813	91.62912	18	2.474074	0.7714286
ILMN_1690480	103.628	23	5.368289	0.3662338
ILMN_1779987	89.72707	9	4.668956	0.812987
ILMN_1675748	99.56293	19	5.840624	0.5298702
ILMN_1655864	128.8448	17	11.13266	0.02207792
ILMN_1668985	108.0544	19	5.30044	0.2454545
ILMN_1694898	95.23946	24	3.170484	0.6701299
ILMN_1774191	108.708	15	7.434793	0.2272727
ILMN_1745239	109.7084	26	5.240885	0.2038961
ILMN_1786172	96.7821	22	4.032371	0.612987
ILMN_1759389	92.17273	17	3.647878	0.7519481
ILMN_2185576	92.98405	19	2.930609	0.7207792
ILMN_1678633	82.61845	21	2.434385	0.9428571
ILMN_1778543	178.3336	24	13.43448	0
ILMN_1758657	107.6741	21	5.957182	0.2571429
ILMN_3237414	102.7224	17	5.976435	0.4038961
ILMN_1674014	136.592	14	13.31627	0.005194805
ILMN_1713182	104.9809	31	4.55544	0.3246753
ILMN_3248069	6955.988	14	518.0362	0
ILMN_1689861	83.46523	27	3.584069	0.9363636
ILMN_1802286	112.4966	25	4.927197	0.1467533
ILMN_1658460	836.8539	15	70.15524	0
ILMN_1712446	117.6689	28	6.263029	0.07662338
ILMN_1810104	103.678	16	3.471405	0.3636364
ILMN_1729304	132.1065	27	9.645606	0.01168831
ILMN_1785709	115.766	17	4.20071	0.09350649
ILMN_1804530	804.7532	19	49.97733	0
ILMN_1723601	90.27312	16	4.017155	0.7948052
ILMN_1661169	114.65	16	6.946522	0.1077922
ILMN_1786551	92.79287	26	2.976446	0.7233766
ILMN_1811966	128.0302	12	7.095133	0.02337662
ILMN_1665751	115.3187	20	7.595746	0.1
ILMN_1766902	97.28449	32	2.852411	0.6
ILMN_1802249	103.7605	19	4.664904	0.3584416
ILMN_1711611	112.6973	22	7.646422	0.1428571
ILMN_1787716	85.27391	12	4.51371	0.9090909
ILMN_1673690	87.42162	27	2.586003	0.8623376
ILMN_3274929	94.57912	16	5.633024	0.6909091
ILMN_1687212	117.425	23	6.090168	0.07792208
ILMN_1783313	102.1829	20	6.18395	0.4207792
ILMN_1690145	190.7115	20	13.32389	0
ILMN_1745274	112.8279	25	6.174888	0.138961
ILMN_1698379	95.54652	23	2.937834	0.6584415
ILMN_1724283	88.71535	22	3.512116	0.8298701
ILMN_1663973	109.3007	21	5.209141	0.212987
ILMN_1729613	112.5036	17	5.326555	0.1467533
ILMN_1805121	103.0503	28	5.00033	0.3883117
ILMN_1695965	121.3877	26	9.043238	0.04155844
ILMN_1697665	206.4691	30	9.195076	0
ILMN_2186516	89.53865	19	4.285136	0.8181818
ILMN_1777792	82.30476	29	2.678129	0.9480519
ILMN_1686927	119.0891	28	6.40357	0.05974026
ILMN_1790042	129.4885	19	8.750914	0.02077922
ILMN_1785610	100.1638	22	4.183692	0.4974026
ILMN_1737586	432.318	20	24.25221	0
ILMN_1729832	157.6847	13	13.42669	0
ILMN_1666332	120.1096	29	5.246774	0.05324675
ILMN_1763556	107.6583	22	5.977035	0.2584416
ILMN_1658034	96.22059	23	3.420969	0.635065
ILMN_1703973	108.074	12	7.368838	0.2454545
ILMN_1797565	114.7303	16	3.941185	0.1077922
ILMN_1742441	100.3319	23	4.735044	0.4935065
ILMN_1660991	120.2193	15	8.116745	0.05324675
ILMN_1665537	106.4595	17	5.915759	0.2818182
ILMN_1704812	108.4626	18	8.287835	0.2298701
ILMN_1800465	122.2953	24	5.89535	0.03766234
ILMN_1692894	103.8394	25	3.774251	0.3532467
ILMN_1692065	112.1046	25	5.924745	0.1571429
ILMN_1656655	87.76318	12	2.773637	0.8545455
ILMN_1676480	111.7518	30	4.408978	0.1623377
ILMN_1742442	101.8658	18	4.900767	0.4337662
ILMN_1761790	105.2962	22	6.145971	0.312987
ILMN_1800884	103.1198	21	3.761357	0.3857143
ILMN_1784104	116.5087	13	6.393814	0.08571429
ILMN_1805726	117.0102	16	6.393081	0.08311688
ILMN_1794150	313.4853	21	26.97233	0
ILMN_1655517	97.33832	11	5.049106	0.5974026
ILMN_1732329	103.258	22	5.929889	0.3805195
ILMN_1741105	103.6637	13	7.532771	0.3649351
ILMN_1717093	131.46	24	10.46816	0.01298701
ILMN_1674256	94.00352	17	4.872286	0.6961039
ILMN_1696015	119.4453	30	6.109768	0.05974026
ILMN_1713384	109.9229	21	5.384491	0.1974026
ILMN_1752697	107.0494	20	5.588879	0.2688312
ILMN_1802808	163.5844	13	16.99014	0
ILMN_1800374	105.3919	15	6.646755	0.3077922
ILMN_1738122	110.7375	22	5.131799	0.1779221
ILMN_1813114	93.67186	25	3.27329	0.7051948
ILMN_1698835	110.2257	19	7.462449	0.1922078
ILMN_1665603	119.6849	17	9.117928	0.05584415
ILMN_1760610	115.2488	31	4.751019	0.1
ILMN_1687506	112.7129	31	5.048701	0.1415584
ILMN_1772918	87.23552	21	4.971419	0.864935
ILMN_1753892	992.548	24	49.36554	0
ILMN_1807524	100.3589	24	5.498643	0.4935065
