ID_REF	VALUE	5455178010_A.Avg_NBEADS	5455178010_A.BEAD_STDERR	5455178010_A.Detection Pval
ILMN_3244070	109.1098	20	5.649617	0.2766234
ILMN_1767129	94.31499	25	4.231307	0.6909091
ILMN_1746196	100.6647	18	5.913231	0.5116883
ILMN_2366473	119.3707	21	7.901373	0.08831169
ILMN_1751453	95.09361	16	6.769547	0.6688312
ILMN_1772189	104.174	23	2.805076	0.4025974
ILMN_1652959	107.6844	28	8.160218	0.3064935
ILMN_2198897	88.17603	12	10.15685	0.8532467
ILMN_1674032	138.5107	15	9.570619	0.007792208
ILMN_1737656	104.1319	17	4.228189	0.4038961
ILMN_2343917	92.64441	16	6.786538	0.7376623
ILMN_1746032	108.9833	20	8.100728	0.2779221
ILMN_1651501	108.8961	18	8.611047	0.2818182
ILMN_2330267	1037.409	35	48.0576	0
ILMN_1676846	906.8784	21	36.0355	0
ILMN_2392635	444.5858	30	20.51272	0
ILMN_1763875	1766.617	20	74.65246	0
ILMN_2284941	110.7699	28	6.759981	0.2233766
ILMN_1781999	180.7726	24	10.04673	0
ILMN_1669201	140.3832	25	10.1333	0.005194805
ILMN_1810085	124.7324	23	7.34263	0.04805195
ILMN_2262362	122.9597	15	11.40663	0.06623377
ILMN_1743638	101.8007	16	5.274052	0.4714286
ILMN_1658176	175.6914	28	12.04287	0
ILMN_2329927	157.9428	20	10.02423	0
ILMN_1794782	366.9379	25	13.98554	0
ILMN_1695968	117.3426	24	7.285808	0.1077922
ILMN_1789641	83.88986	24	4.170699	0.9311689
ILMN_1779470	126.1236	20	9.184682	0.04155844
ILMN_1716592	114.1764	27	5.528163	0.1532468
ILMN_1680309	107.3068	26	5.278102	0.3168831
ILMN_1743371	99.14585	27	4.352276	0.5493507
ILMN_1770031	135.3013	19	6.886221	0.01428571
ILMN_2338268	100.0696	29	4.421346	0.5285714
ILMN_1753912	94.82866	20	4.726792	0.6779221
ILMN_1737475	92.30624	29	5.828228	0.7506493
ILMN_1745116	190.7115	26	10.18854	0
ILMN_2318685	183.5743	35	9.460256	0
ILMN_2245305	265.0841	22	16.19905	0
ILMN_1707925	103.9821	16	7.888571	0.4064935
ILMN_1698311	114.0119	25	5.156216	0.1532468
ILMN_2367487	83.94205	26	3.843266	0.9298701
ILMN_1785285	96.53799	21	4.840161	0.635065
ILMN_2073969	120.6353	22	6.982648	0.07662338
ILMN_1794213	110.6206	28	6.689482	0.2272727
ILMN_2227533	101.4792	29	5.704171	0.4805195
ILMN_1769390	199.1327	21	10.20168	0
ILMN_2403446	114.2793	30	7.493278	0.151948
ILMN_1787618	87.06268	30	3.675124	0.8779221
ILMN_1723662	121.3346	16	6.504496	0.07272727
ILMN_1801767	207.2474	27	12.7202	0
ILMN_1700633	130.9568	14	7.551426	0.02467532
ILMN_1655702	116.7113	30	5.783886	0.1116883
ILMN_1706344	369.4218	33	15.26527	0
ILMN_1719498	116.8373	21	8.72872	0.1103896
ILMN_1712707	372.7905	20	21.11197	0
ILMN_1699750	109.577	37	5.528319	0.2623377
ILMN_1739081	138.3	23	10.43124	0.007792208
ILMN_2329958	428.6219	26	20.13885	0
ILMN_1775944	112.1769	18	8.097913	0.1948052
ILMN_1724497	295.7191	23	16.32191	0
ILMN_1720988	107.7599	23	5.723479	0.3064935
ILMN_1707274	99.23531	22	5.502902	0.548052
ILMN_1755658	93.87393	19	4.606828	0.7064935
ILMN_1673639	88.01647	19	4.987695	0.8558441
ILMN_1713732	247.4858	32	8.764562	0
ILMN_1708922	112.3362	23	7.479237	0.1909091
ILMN_2268241	103.0772	21	6.084273	0.4324675
ILMN_1741628	103.582	31	4.91894	0.4142857
ILMN_1657870	103.5906	24	6.630919	0.4142857
ILMN_2240003	98.18954	19	7.233022	0.5805195
ILMN_1785424	97.63593	20	5.651808	0.5961039
ILMN_1731610	116.3263	25	5.469551	0.1168831
ILMN_1696682	125.0901	21	11.42486	0.04545455
ILMN_2396672	102.7142	22	6.748617	0.4428571
ILMN_1758825	86.45623	27	3.071222	0.8909091
ILMN_1656940	84.40031	17	4.062931	0.9194805
ILMN_1656979	85.03823	13	7.931129	0.9116883
ILMN_1731433	88.52341	23	5.496816	0.848052
ILMN_1672878	1077.016	18	31.46717	0
ILMN_1655114	98.52879	23	5.284173	0.574026
ILMN_1657045	103.6587	31	5.505069	0.4103896
ILMN_1766991	95.92648	26	6.215358	0.6532468
ILMN_1658083	135.5065	20	9.145795	0.01428571
ILMN_1802096	214.0596	21	9.501692	0
ILMN_2367165	97.72675	23	3.84988	0.5935065
ILMN_1753370	197.4152	23	15.68179	0
ILMN_1738921	261.7345	20	9.408091	0
ILMN_1660199	200.6457	16	8.102919	0
ILMN_2331636	426.2985	20	21.54135	0
ILMN_1772123	396.0526	29	16.1614	0
ILMN_1667641	82.076	18	4.572302	0.9571428
ILMN_1763852	86.74569	28	3.289437	0.8857143
ILMN_1687303	272.5617	18	18.12564	0
ILMN_1761058	805.7911	28	33.98264	0
ILMN_2225595	220.3519	24	9.969417	0
ILMN_1724699	121.5175	15	9.423754	0.07142857
ILMN_1775579	366.841	16	19.40702	0
ILMN_1660890	109.2355	20	11.42659	0.2727273
ILMN_1778104	291.4262	11	13.69773	0
ILMN_2053679	1372.194	20	55.10497	0
ILMN_1795104	92.14191	22	4.882237	0.761039
ILMN_1740920	116.5661	19	6.495296	0.1142857
ILMN_2263466	153.771	18	12.70972	0.001298701
ILMN_1806408	2306.123	24	94.03484	0
ILMN_2352009	329.6766	22	22.08554	0
ILMN_1693148	81.27292	19	4.219089	0.9623377
ILMN_1808395	199.769	28	11.58771	0
ILMN_3236270	129.7897	19	6.490723	0.03116883
ILMN_1743847	96.19062	20	7.988463	0.6415585
ILMN_1800008	310.1129	21	13.73157	0
ILMN_2133799	133.5884	16	15.35042	0.01428571
ILMN_1708672	1036.744	12	73.85787	0
ILMN_1665945	489.614	15	17.91056	0
ILMN_1676288	111.6189	26	7.145056	0.212987
ILMN_1693250	90.73573	19	5.032093	0.7922078
ILMN_2295980	87.93424	17	5.17728	0.8558441
ILMN_2410362	93.85252	21	4.945096	0.7064935
ILMN_1684271	122.8811	27	6.891107	0.06623377
ILMN_1726388	94.12502	19	6.354891	0.6987013
ILMN_2106002	111.9025	18	6.266913	0.2051948
ILMN_1779685	96.37486	25	7.472923	0.6376624
ILMN_1665932	101.1289	30	4.783766	0.4974026
ILMN_1769694	97.86782	26	3.588014	0.5909091
ILMN_1727251	80.81989	39	2.124072	0.9649351
ILMN_1734479	114.527	28	7.238094	0.1441558
ILMN_2368728	93.21712	21	4.631326	0.7207792
ILMN_2394897	93.9481	21	3.613075	0.7051948
ILMN_2394902	86.40369	19	3.689064	0.8922078
ILMN_2287535	86.01627	19	3.94575	0.8974026
ILMN_1750295	98.51295	20	5.076249	0.5753247
ILMN_3187680	162.4064	25	10.5335	0
ILMN_3242266	95.41922	23	6.358197	0.6623377
ILMN_1780630	84.84138	28	3.596865	0.9155844
ILMN_1716480	150.4447	23	8.278234	0.001298701
ILMN_1715192	99.08386	22	5.337221	0.5506493
ILMN_2339410	82.48184	13	4.951518	0.9558442
ILMN_1779984	98.0246	22	5.421896	0.587013
ILMN_1667018	92.70953	27	3.588622	0.7363636
ILMN_1773243	88.91124	20	5.985807	0.8389611
ILMN_3241214	96.95283	16	6.414685	0.6181818
ILMN_3235340	163.0215	26	9.917646	0
ILMN_1761000	100.4749	15	6.8404	0.5168831
ILMN_3237774	126.9823	27	5.665779	0.03896104
ILMN_2333219	146.1431	21	8.44714	0.001298701
ILMN_1780485	96.52161	22	5.079668	0.635065
ILMN_1735471	136.6111	19	11.28356	0.01298701
ILMN_1699636	360.4385	26	13.56429	0
ILMN_2371379	760.5709	22	47.54754	0
ILMN_1749014	474.4485	18	26.01583	0
ILMN_1727091	117.3916	21	8.149049	0.1064935
ILMN_1771348	179.4523	20	17.22036	0
ILMN_2134039	308.6558	16	14.07517	0
ILMN_1750800	384.8338	29	11.74338	0
ILMN_1654861	312.806	24	20.0065	0
ILMN_2121389	99.03082	26	4.279086	0.5519481
ILMN_1715543	90.16113	29	4.764461	0.8064935
ILMN_1739594	85.90158	25	3.936382	0.8987013
ILMN_2353978	127.671	20	8.523705	0.03636364
ILMN_1785474	91.68979	16	3.766431	0.7636364
ILMN_2188959	83.10756	24	3.035396	0.9467533
ILMN_1716237	125.5698	25	6.760247	0.04415584
ILMN_1764321	94.37128	22	4.79187	0.6883117
ILMN_2156699	99.77824	23	5.859601	0.5337662
ILMN_1784756	88.60905	19	4.849226	0.8467532
ILMN_1728883	114.4336	25	7.510243	0.1454545
ILMN_1740265	703.3483	20	63.22449	0
ILMN_1788078	149.8058	20	14.91676	0.001298701
ILMN_2252621	79.99567	24	2.752012	0.9688312
ILMN_2332250	181.1258	14	13.03026	0
ILMN_1719178	88.35676	19	6.3321	0.851948
ILMN_1679600	108.5853	22	6.116795	0.2857143
ILMN_2367070	393.7057	19	20.44253	0
ILMN_1658995	240.7121	22	18.43359	0
ILMN_1750158	291.3941	23	18.08635	0
ILMN_1668839	85.70395	20	4.119689	0.9012987
ILMN_1765767	87.175	20	4.999844	0.8753247
ILMN_1685703	120.5743	20	11.27016	0.07662338
ILMN_1743396	419.4212	15	32.11347	0
ILMN_1743680	101.3567	29	6.820003	0.4844156
ILMN_1669633	271.274	15	20.17496	0
ILMN_2344956	1069.327	20	50.73279	0
ILMN_2104830	109.6411	18	7.430905	0.261039
ILMN_2078599	155.7737	16	12.29647	0
ILMN_2234343	94.70759	21	5.672734	0.6792208
ILMN_1706598	110.513	19	7.379744	0.2285714
ILMN_2306955	85.69611	21	2.712001	0.9012987
ILMN_1758323	138.2481	18	12.95574	0.007792208
ILMN_1728331	105.9671	25	5.861936	0.3584416
ILMN_2351906	89.99787	18	4.930672	0.8116883
ILMN_1705637	101.4327	27	6.304844	0.4818182
ILMN_1784203	101.6453	22	7.274481	0.4753247
ILMN_1666690	190.4802	26	14.35825	0
ILMN_1654468	92.40454	20	5.118023	0.7454545
ILMN_2320277	94.5817	24	3.873491	0.6844156
ILMN_2227011	192.4474	27	11.44661	0
ILMN_1730002	88.06872	17	7.285887	0.8532467
ILMN_3236756	111.0722	23	5.344031	0.2220779
ILMN_1716832	109.0106	15	4.693072	0.2766234
ILMN_1684585	452.1544	20	28.73497	0
ILMN_2360705	872.2517	28	31.19104	0
ILMN_1654414	115.2193	16	8.10017	0.1376623
ILMN_1666096	143.9615	25	5.424078	0.002597403
ILMN_2391458	131.0831	18	14.75774	0.02467532
ILMN_2285506	98.86462	16	8.312649	0.561039
ILMN_1691714	88.84716	23	4.632029	0.8389611
ILMN_1683598	1970.234	22	124.6402	0
ILMN_2370882	117.0841	20	8.581704	0.1090909
ILMN_2273911	113.313	22	7.308884	0.1649351
ILMN_1807914	90.49977	28	4.178737	0.7974026
ILMN_1678517	75.88181	20	3.129937	0.9948052
ILMN_1705247	222.6796	25	12.33017	0
ILMN_1737418	124.8768	17	9.403363	0.04805195
ILMN_2278242	100.5288	18	6.395121	0.5142857
ILMN_1730025	84.06405	28	2.762062	0.9272727
ILMN_2378555	86.86691	19	3.244738	0.8844156
ILMN_1661434	80.35372	25	3.052867	0.9675325
ILMN_1809623	97.87482	26	5.041682	0.5909091
ILMN_1657592	94.73337	21	4.409178	0.6792208
ILMN_1765912	104.4989	18	9.321145	0.3935065
ILMN_1746128	112.5969	12	6.948386	0.1857143
ILMN_1685952	94.88366	30	3.941654	0.6753247
ILMN_1662738	91.98537	21	4.401185	0.761039
ILMN_1771084	128.0269	21	7.10016	0.03376623
ILMN_1791923	113.4376	24	8.363876	0.1623377
ILMN_1801698	103.3122	24	6.647112	0.4246753
ILMN_1766966	94.30483	22	5.648702	0.6909091
ILMN_2070792	95.04315	17	8.236833	0.6688312
ILMN_1752269	95.62151	21	4.085653	0.6597403
ILMN_1697510	110.3387	17	9.550468	0.238961
ILMN_2254962	95.16241	31	5.713715	0.6688312
ILMN_2336595	331.1022	28	18.69023	0
ILMN_1714197	352.2224	20	20.84694	0
ILMN_1742859	114.8898	17	8.851577	0.1415584
ILMN_1659885	99.24346	15	8.342902	0.548052
ILMN_2125869	95.11158	24	4.527749	0.6688312
ILMN_1671703	126.888	22	6.774142	0.04025974
ILMN_2152131	13991.43	26	601.1029	0
ILMN_1777296	4309.773	18	148.3046	0
ILMN_2038777	8646.443	25	237.4145	0
ILMN_3246895	88.77213	11	4.012268	0.8402597
ILMN_1658660	87.56299	31	3.902306	0.8675325
ILMN_1829919	101.1118	24	5.462809	0.4974026
ILMN_2053178	9706.684	17	551.4153	0
ILMN_1704961	599.3583	27	39.23717	0
ILMN_1795325	80.2522	19	1.911212	0.9675325
ILMN_1749297	278.8971	19	17.32961	0
ILMN_2328280	195.9771	20	13.80403	0
ILMN_1657855	105.6713	14	7.809387	0.3662338
ILMN_1717900	81.70502	30	3.272458	0.9597403
ILMN_1796088	99.7897	22	5.523005	0.5337662
ILMN_1704078	85.9836	13	3.869795	0.8987013
ILMN_2232177	95.00176	17	6.194622	0.6688312
ILMN_1654422	97.93862	20	7.599253	0.5896104
ILMN_1665691	94.38984	20	5.726856	0.6883117
ILMN_1725534	1058.573	20	63.05057	0
ILMN_1798254	686.3647	20	35.90693	0
ILMN_1792314	453.8362	26	17.8205	0
ILMN_1695821	412.8345	20	24.06767	0
ILMN_2388605	2221.403	21	132.8517	0
ILMN_1657153	1787.493	23	121.1664	0
ILMN_2260392	115.3481	22	7.758165	0.1337662
ILMN_2346451	103.153	20	4.352466	0.4298701
ILMN_1787513	111.699	24	6.879893	0.2116883
ILMN_1680941	103.8614	34	4.651014	0.4064935
ILMN_1652594	250.2312	26	15.27007	0
ILMN_1697585	516.0364	26	19.14823	0
ILMN_1689162	116.2404	13	6.950626	0.1181818
ILMN_1815392	124.8818	18	8.495067	0.04805195
ILMN_3241416	75.64779	23	2.606673	0.9948052
ILMN_1760490	307.496	20	11.90646	0
ILMN_1786544	96.98696	20	4.414982	0.6181818
ILMN_1763916	99.94885	22	6.904703	0.5298702
ILMN_2243308	215.248	21	14.47735	0
ILMN_1766723	89.27966	19	3.730449	0.825974
ILMN_1689217	118.8836	13	11.48315	0.0961039
ILMN_1670912	95.12733	15	5.272796	0.6688312
ILMN_2152711	101.9429	24	3.758656	0.4688312
ILMN_1668983	86.81065	21	4.245591	0.8844156
ILMN_1824337	109.7952	18	7.681565	0.2532468
ILMN_1807493	78.83102	18	3.29364	0.9766234
ILMN_3250257	99.70971	28	5.566792	0.5350649
ILMN_1683883	90.97874	26	3.603617	0.7857143
ILMN_1670193	95.0151	24	5.662246	0.6688312
ILMN_2319825	170.2145	19	9.526951	0
ILMN_1694233	271.4219	27	12.20743	0
ILMN_1686432	96.23013	21	4.611326	0.6402597
ILMN_1697550	110.0317	17	7.761854	0.2480519
ILMN_2158705	186.2184	17	7.26975	0
ILMN_1803686	254.0222	30	11.62564	0
ILMN_1745580	106.0908	23	7.740479	0.3571429
ILMN_1745108	89.69314	19	6.447944	0.8194805
ILMN_1725043	151.5186	29	10.42022	0.001298701
ILMN_2148360	109.4268	28	4.674335	0.2701299
ILMN_1718946	152.0797	18	8.630238	0.001298701
ILMN_1711374	108.7822	25	5.768205	0.2831169
ILMN_1726266	112.2476	30	5.420404	0.1935065
ILMN_1705689	95.33524	14	5.907883	0.6649351
ILMN_1785393	99.16855	23	5.40338	0.5493507
ILMN_2384544	95.81161	19	5.341979	0.6558442
ILMN_1756920	316.6176	20	19.47059	0
ILMN_1799728	215.3841	18	22.78536	0
ILMN_1751500	104.4768	24	6.893885	0.3935065
ILMN_2121068	283.5919	25	15.46466	0
ILMN_1765779	124.5347	32	6.318172	0.05194805
ILMN_2201386	85.0961	20	4.747944	0.9103896
ILMN_1682225	94.7225	22	4.956718	0.6792208
ILMN_1788481	88.10801	23	3.521339	0.8532467
ILMN_1713751	4204.943	17	327.7993	0
ILMN_1662675	124.5878	20	9.459675	0.04935065
ILMN_1737629	84.90249	22	4.805311	0.912987
ILMN_1812112	96.51732	25	7.701982	0.635065
ILMN_3241313	89.86213	22	4.972625	0.812987
ILMN_1675210	84.61463	16	3.955885	0.9168831
ILMN_1706302	100.3955	17	5.681442	0.5194805
ILMN_2351754	85.79803	25	5.484085	0.9012987
ILMN_2060086	88.33373	21	3.650266	0.851948
ILMN_1664236	96.04576	16	5.497567	0.6454545
ILMN_1664631	95.79305	20	5.585398	0.6571429
ILMN_1802100	86.01489	22	5.517209	0.8974026
ILMN_2194158	105.8303	16	6.856808	0.3649351
ILMN_2100871	97.56763	19	6.283092	0.5974026
ILMN_1806841	119.4763	31	7.743958	0.08701298
ILMN_1798045	102.8975	26	4.878465	0.438961
ILMN_2293012	87.58875	28	3.400857	0.8662338
ILMN_1703383	102.9738	18	4.228862	0.4337662
ILMN_1651657	93.96021	21	4.357998	0.7051948
ILMN_1671297	95.45986	22	7.616294	0.6623377
ILMN_1669486	116.9647	17	8.226424	0.1103896
ILMN_1795204	107.538	24	7.266033	0.3116883
ILMN_2223911	113.6917	16	11.03437	0.1623377
ILMN_1685531	103.1992	20	6.716354	0.4272727
ILMN_1764554	108.22	26	7.266351	0.2948052
ILMN_2302214	86.55112	19	4.084659	0.8896104
ILMN_1783312	107.4962	21	6.994412	0.3116883
ILMN_2143210	101.0144	18	3.902836	0.5012987
ILMN_1750294	88.08714	23	3.534014	0.8532467
ILMN_1708348	666.2468	23	36.03695	0
ILMN_1727524	121.9955	34	4.782112	0.07012987
ILMN_1716909	112.7319	15	12.96932	0.1857143
ILMN_2103107	109.185	19	5.980681	0.2727273
ILMN_1673566	90.53616	12	6.515016	0.7961039
ILMN_1751168	94.74177	18	7.311922	0.6792208
ILMN_1660970	84.51389	27	3.80235	0.9168831
ILMN_1787386	97.80498	22	5.042273	0.5909091
ILMN_2286570	94.10724	25	6.508048	0.6987013
ILMN_2413732	114.2602	24	7.767665	0.151948
ILMN_1873412	103.1105	20	5.292902	0.4324675
ILMN_1676452	86.6264	21	4.891475	0.8883117
ILMN_2358134	88.98377	19	5.21032	0.8376623
ILMN_1683781	117.2964	21	11.87296	0.1077922
ILMN_1726247	81.24219	27	3.718541	0.9623377
ILMN_1682989	105.8191	22	7.667277	0.3649351
ILMN_1739872	111.7055	35	5.148748	0.2103896
ILMN_1770152	84.70278	22	4.321187	0.9155844
ILMN_1656171	92.25925	17	5.848825	0.7519481
ILMN_1796628	100.0415	27	4.651034	0.5285714
ILMN_1811765	101.1516	29	6.320687	0.4961039
ILMN_1791795	93.88615	25	4.413604	0.7064935
ILMN_1787908	87.01763	30	3.231601	0.8805195
ILMN_1651717	100.5607	18	5.302198	0.512987
ILMN_1703803	116.6939	19	9.928279	0.1116883
ILMN_2092933	96.2971	24	4.190291	0.638961
ILMN_1681886	91.45856	23	5.907613	0.7701299
ILMN_1767362	109.8112	29	5.775174	0.2532468
ILMN_3251322	98.82742	18	6.147023	0.561039
ILMN_2211790	108.2561	22	7.253847	0.2948052
ILMN_1672403	106.9943	24	5.438229	0.3220779
ILMN_1805543	89.7787	21	4.186816	0.8142857
ILMN_1706992	96.62378	26	6.733817	0.6324675
ILMN_1684919	111.2039	27	8.560281	0.2194805
ILMN_1727084	122.8794	24	9.95254	0.06623377
ILMN_1705250	81.17209	19	4.685606	0.9636363
ILMN_1722621	91.54556	14	6.512384	0.7688312
ILMN_1721495	95.79693	29	3.990068	0.6571429
ILMN_1798690	115.8477	23	8.034664	0.1272727
ILMN_1687035	144.5642	24	8.244598	0.002597403
ILMN_1777683	82.07996	26	3.121529	0.9571428
ILMN_1762294	83.99422	29	3.745736	0.9298701
ILMN_1793040	108.7811	22	5.569672	0.2831169
ILMN_3247424	104.398	22	7.121833	0.3961039
ILMN_1763000	112.4406	22	5.169921	0.1896104
ILMN_1776777	7207.444	23	382.3604	0
ILMN_1706963	98.21779	19	4.095606	0.5792208
ILMN_2320964	1548.582	38	61.14633	0
ILMN_1697628	97.92956	24	4.943281	0.5896104
ILMN_2319326	120.3853	26	7.950223	0.07792208
ILMN_1657442	85.43583	27	5.314765	0.9051948
ILMN_1679797	380.6416	23	13.23656	0
ILMN_1749493	106.599	34	5.357605	0.3402597
ILMN_1657139	209.9565	28	12.98372	0
ILMN_3245693	100.889	20	4.014043	0.5038961
ILMN_1806275	130.1486	26	6.619566	0.02987013
ILMN_1659599	192.9018	24	9.899318	0
ILMN_1698777	148.9904	22	7.626619	0.001298701
ILMN_1663132	163.076	22	8.230776	0
ILMN_1700349	112.6849	36	4.827891	0.1857143
ILMN_1761309	117.4004	25	6.786391	0.1064935
ILMN_2120555	108.2798	25	8.08959	0.2948052
ILMN_1742073	82.88305	13	3.458148	0.9480519
ILMN_3241894	105.8255	29	6.424917	0.3649351
ILMN_1810691	101.0292	32	5.354312	0.5012987
ILMN_1676893	3311.04	23	140.548	0
ILMN_2148944	109.8268	24	4.810647	0.2519481
ILMN_1708588	117.7457	20	7.273719	0.1012987
ILMN_2311674	105.3217	26	5.487403	0.3727273
ILMN_1685156	120.0119	28	8.009378	0.08181818
ILMN_1655935	149.4292	25	8.273527	0.001298701
ILMN_1754440	106.0484	18	7.33696	0.3584416
ILMN_1654287	85.23396	31	2.868863	0.9103896
ILMN_1763344	81.51139	19	4.094881	0.9610389
ILMN_1711736	98.65381	22	8.666703	0.5701299
ILMN_2356786	211.8851	19	13.30351	0
ILMN_1759252	2123.021	12	135.3062	0
ILMN_1678791	82.35977	22	3.749617	0.9558442
