n0,Pi0,Effect,Power,Power SD,FDR,FDR SD,Accuracy,Accuracy SD,F1,F1 SD
5,1.0,0.05,0.051000000000000004,0.0002631578947368436,0.04344156856630545,0.002102985889140093,0.5035000000000001,0.001131578947368428,0.09683698318706355,0.0004851590991075336
5,1.0,0.1,0.05273684210526316,0.0010526315789473675,0.04757497424031526,0.0027151611562031136,0.5013684210526316,0.001526315789473709,0.09993844544991004,0.0019051021335478521
5,1.0,0.3,0.0708421052631579,0.005789473684210532,0.04460760644190076,0.0012639531911267654,0.5039210526315789,0.0006052631578947198,0.13184512835777998,0.010023720906567689
5,1.0,0.5,0.10842105263157895,0.003263157894736843,0.04125373760779226,0.004609571744725722,0.5097105263157895,0.004868421052631577,0.19478992251059668,0.005172384311868408
5,0.95,0.05,0.051000000000000004,0.0002631578947368436,0.05278718475992447,0.0002580018805470388,0.4985,0.000131578947368427,0.09678857432544782,0.00047525631166023263
5,0.95,0.1,0.05273684210526316,0.0010526315789473675,0.05115471286475004,0.000968839258802083,0.4993684210526316,0.0005263157894736803,0.09991833388881882,0.0018947762924922049
5,0.95,0.3,0.0708421052631579,0.005789473684210532,0.03881102726012629,0.003049437856152779,0.5084210526315789,0.0028947368421052833,0.13190646882995205,0.010073053354348313
5,0.95,0.5,0.10842105263157895,0.003263157894736843,0.02556598297213622,0.0007498065015479876,0.5272105263157895,0.0016315789473684283,0.1951156296305814,0.005299935159747277
5,0.75,0.05,0.04921052631578947,0.0006842105263157906,0.043839244250505185,0.006260956150296419,0.5031052631578947,0.0031578947368421373,0.09360175420287795,0.0012077267452168666
5,0.75,0.1,0.05068421052631579,0.001421052631578948,0.042556980056980054,0.005519943019943022,0.5038421052631579,0.002789473684210564,0.09626680946138966,0.0025355857481911825
5,0.75,0.3,0.06457894736842106,0.0038421052631578967,0.033644568938686586,0.0033924680983504502,0.5107894736842105,0.0015789473684210686,0.1210390723020738,0.006725055462053972
5,0.75,0.5,0.09473684210526315,0.0014736842105263145,0.02326778629119662,0.003356281866417862,0.5258684210526317,0.0027631578947368562,0.17271583335478674,0.002396725319415746
