n0,Pi0,Effect,Power,Power SD,FDR,FDR SD,Accuracy,Accuracy SD,F1,F1 SD
5,0.3,0.5,0.06994736842105263,0.0004736842105263206,0.047303464096892754,0.001060689530418768,0.5019736842105263,0.000763157894736799,0.13032562220826177,0.0008122784092036844
15,1.0,0.05,0.04978947368421052,0.0030526315789473654,0.05453634085213033,0.010726817042606515,0.4978947368421052,0.005526315789473657,0.09458609116306976,0.005563534772092316
15,1.0,0.1,0.05742105263157895,0.003526315789473683,0.05433431863425228,0.011359112022682031,0.4977105263157895,0.006763157894736832,0.10825378115771658,0.006342953132238878
15,1.0,0.3,0.12547368421052632,0.0027368421052631556,0.05121032915628744,0.0046036243320846555,0.49823684210526314,0.006131578947368432,0.22162052466712306,0.0041440721818111065
15,1.0,0.5,0.2649473684210526,0.004105263157894751,0.049100611584122794,0.0007135148099292471,0.5024736842105263,0.0019473684210525866,0.4144057761364862,0.004954355118640952
15,0.95,0.05,0.04978947368421052,0.0030526315789473654,0.06301984877126654,0.011980151228733457,0.4933947368421053,0.006026315789473657,0.09454381891712432,0.00556586300530066
15,0.95,0.1,0.05742105263157895,0.003526315789473683,0.05512394305123943,0.010569487605694879,0.49721052631578944,0.006263157894736832,0.10824811142021956,0.006337283394741849
15,0.95,0.3,0.12547368421052632,0.0027368421052631556,0.025818415091313676,0.0041316681033618675,0.5312368421052631,0.005868421052631578,0.22230664669211575,0.0044034510277539685
15,0.95,0.5,0.2649473684210526,0.004105263157894751,0.01238638537084314,0.0019334236983692714,0.6009736842105263,0.0065526315789473655,0.4177962340578657,0.005277505907374663
15,0.75,0.05,0.049368421052631575,0.0021052631578947385,0.057263078641861365,0.0005403895662311163,0.4961842105263158,0.00044736842105264074,0.09381528544042182,0.003799246948040111
15,0.75,0.1,0.05536842105263158,0.0025263157894736855,0.051381917736783786,0.0003422201942506996,0.4991842105263158,0.00023684210526317417,0.10461833302470455,0.004508651102279576
15,0.75,0.3,0.10984210526315791,0.0016315789473684214,0.02657031321400128,0.0009778961523899052,0.5264210526315789,0.0006842105263157872,0.19740404347816948,0.002614844046620421
15,0.75,0.5,0.2180526315789474,0.0019473684210526282,0.013565856313497823,0.000585087082728592,0.5805263157894737,0.000526315789473708,0.3571507346930282,0.0025738780436326825
15,0.675,0.05,0.051000000000000004,0.0006842105263157906,0.05178899785473491,0.003980232914495865,0.499,0.0021578947368421364,0.09679243791960171,0.0012115540963663698
15,0.675,0.1,0.05652631578947369,0.0011578947368421043,0.046948164487159286,0.0033118008507956494,0.5017631578947368,0.0019210526315789345,0.10671957272286972,0.0020429558074468376
15,0.675,0.3,0.10642105263157894,0.0005263157894736872,0.025526083523017606,0.002225112649231198,0.5267105263157894,0.002236842105263148,0.19188554276273573,0.0008124183562780024
15,0.675,0.5,0.20331578947368423,0.0008947368421052676,0.013527472432879118,0.0012008160384261134,0.5751578947368421,0.0020526315789473615,0.3371432396457852,0.001160012599397492
15,0.5,0.05,0.05005263157894736,0.002999999999999999,0.05167258792064189,0.002736417707875933,0.49902631578947365,0.001500000000000029,0.09506873056126416,0.005399723540200983
15,0.5,0.1,0.05421052631578947,0.003263157894736843,0.047899837063716665,0.0025349455449789893,0.5011052631578947,0.0013684210526315743,0.1025596920865072,0.0058274046876863675
15,0.5,0.3,0.08978947368421053,0.0026315789473684223,0.02950028308352454,0.0024732560564975116,0.5188947368421053,0.001684210526315788,0.16435856319703812,0.004374020640763365
15,0.5,0.5,0.16010526315789475,0.0038947368421052703,0.01676779105614672,0.0015056809035256177,0.5540526315789474,0.001052631578947416,0.2753482333851703,0.005701644850601373
15,0.3,0.05,0.0518421052631579,0.001842105263157895,0.050406422366628706,0.010858399767758646,0.49992105263157893,0.005921052631578938,0.09831390568510057,0.003370871505608254
15,0.3,0.1,0.05489473684210526,0.0020526315789473684,0.04776394944349115,0.010397401400786526,0.5014473684210526,0.006026315789473685,0.10380153166979894,0.003731761910006272
15,0.3,0.3,0.07552631578947369,0.0025789473684210487,0.03517030766891378,0.007647371889097268,0.5117631578947368,0.0062894736842105115,0.14008023832363764,0.004516858041947472
15,0.3,0.5,0.11663157894736842,0.0022105263157894683,0.022994477716419073,0.00473360815120168,0.5323157894736842,0.006105263157894725,0.20838271798177777,0.003636061360945214
30,1.0,0.05,0.054,0.0002105263157894735,0.05697688957073873,0.0015240245060437196,0.496,0.000894736842105226,0.10215042779664588,0.00036773682961072085
30,1.0,0.1,0.06652631578947368,0.0005263157894736803,0.053878890151336886,0.008901378906959075,0.4972631578947368,0.006263157894736804,0.12431166362149391,0.0009957033500807982
30,1.0,0.3,0.20773684210526316,0.0015263157894736812,0.051660986108032214,0.006512090815044707,0.49636842105263157,0.014263157894736839,0.3408166415100079,0.002474672598090838
30,1.0,0.5,0.4805263157894737,0.0007368421052631469,0.0501440089983706,0.0007175230755343161,0.49926315789473685,0.00363157894736843,0.6381933897049478,0.00048789827437756284
30,0.95,0.05,0.054,0.0002105263157894735,0.03660149389534269,0.006469667153346454,0.5075000000000001,0.0036052631578947225,0.10226769209987607,0.0004139946711338091
30,0.95,0.1,0.06652631578947368,0.0005263157894736803,0.029865922050992037,0.004982562797492814,0.5137631578947368,0.003236842105263149,0.12451288115383094,0.0008808196335706245
30,0.95,0.3,0.20773684210526316,0.0015263157894736812,0.009769180897468983,0.0016679150746841736,0.5843684210526315,0.0027368421052631486,0.34342332398166464,0.0019854154849325567
30,0.95,0.5,0.4805263157894737,0.0007368421052631469,0.00425173652660422,0.0007537041698049199,0.7207631578947369,0.0031315789473684297,0.648229943354699,0.0005107448326014952
30,0.75,0.05,0.05273684210526316,0.0006315789473684205,0.04661762788474075,0.000374853318266765,0.5018684210526315,0.00018421052631578672,0.09994440586808509,0.0011321491558383481
30,0.75,0.1,0.06210526315789473,0.00042105263157894354,0.03987574086727154,0.0010407894109608663,0.5065526315789474,0.0007105263157894948,0.11666393524074901,0.0007505735554557552
30,0.75,0.3,0.174,0.00010526315789473328,0.014604812217750934,0.0002850031485385233,0.5625,0.00044736842105264074,0.2957727390867284,0.0001392387288185748
30,0.75,0.5,0.38794736842105265,0.0006842105263157872,0.0066035428087268784,0.00012231137475442362,0.6694736842105262,0.0001578947368420791,0.5579860091614721,0.000688425279021132
30,0.675,0.05,0.0508421052631579,0.000842105263157894,0.05670325310259844,0.006413117706080065,0.496421052631579,0.003421052631578908,0.0964834449169,0.0015498983994622004
30,0.675,0.1,0.059157894736842104,0.0005263157894736838,0.049009641569568496,0.004412729048127669,0.500578947368421,0.002736842105263121,0.11138566827699634,0.0009026771037344214
30,0.675,0.3,0.16042105263157896,0.00031578947368419985,0.0186663504401119,0.0018596277510362705,0.5512105263157895,0.002842105263157868,0.2757620230826089,0.0003931446540762218
30,0.675,0.5,0.35368421052631577,0.0013684210526315743,0.008559783046403723,0.0009104744262213153,0.6478421052631579,0.0036842105263157343,0.5213735645018975,0.0016127135041493212
30,0.5,0.05,0.05057894736842106,0.0002631578947368436,0.06060750842806143,0.0002962243813688231,0.4942894736842105,0.000131578947368427,0.09598949321883522,0.00047545585246495936
30,0.5,0.1,0.05678947368421053,0.0015263157894736847,0.05437342433745311,0.0013819713460001236,0.4973947368421052,0.0007631578947368545,0.10714070614573262,0.00272543168272546
30,0.5,0.3,0.1334736842105263,0.0006315789473684136,0.02386502031273613,0.00011023104070547948,0.5357368421052631,0.00031578947368421373,0.23483601403603965,0.0009807374678936776
30,0.5,0.5,0.2750526315789473,0.0011578947368421078,0.01172486254785881,4.8779685335267366e-05,0.6065263157894736,0.0005789473684210678,0.4303346805186707,0.0014217982966316933
30,0.3,0.05,0.052052631578947364,0.0006842105263157906,0.06151840004610818,0.007254834154635313,0.4935263157894737,0.004157894736842083,0.09863238543375427,0.00118829597688528
30,0.3,0.1,0.05536842105263158,0.0021052631578947385,0.05794964698929083,0.005515190060451876,0.4951842105263158,0.003447368421052588,0.10457909338537577,0.003722007477462673
30,0.3,0.3,0.10105263157894737,0.0017894736842105283,0.03266270158054995,0.003826450293217305,0.5180263157894738,0.0036052631578947225,0.18298197688927598,0.002865464617286692
30,0.3,0.5,0.18568421052631578,0.0005263157894736803,0.018091430533195018,0.002509905769700304,0.5603421052631579,0.0047631578947368025,0.3123090837247523,0.0008714066709279711
